step,pend_rad,arm_rad,pend_vel,arm_vel,voltage,late,controller
0,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
1,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
2,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
3,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
4,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
5,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
6,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
7,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
8,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
9,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
10,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
11,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
12,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
13,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
14,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
15,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
16,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
17,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
18,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
19,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
20,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
21,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
22,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
23,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
24,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
25,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
26,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
27,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
28,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
29,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
30,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
31,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
32,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
33,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
34,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
35,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
36,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
37,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
38,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
39,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
40,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
41,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
42,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
43,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
44,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
45,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
46,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
47,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
48,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
49,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
50,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
